anio_acci,nro_acci,fecha,desc_dia,fecha_aprox,hora_aprox,desc_ruta,km,cant_participantes,desc_participante,calle_avenida_km,total,heridos_leves,heridos_graves,heridos_gravisimos,ilesos,fallecidos,sin_datos,posicion_XY,desc_tipo_via,desc_ruta_ori,desc_loc,desc_dpto,desc_tipo_calzada,desc_tipo_banquina,desc_unidad_regional,desc_lugar_calzada,desc_zona,desc_prioridad,desc_estado_semaforo,desc_lugar_via,desc_estado_via,desc_estado_visibilidad,desc_luminosidad,desc_estado_clima,desc_tipo_colision,desc_tipo_atropello,desc_tipo_hecho,desc_pres_calzada,desc_senializacion,desc_separacion_via,desc_restriccion,forma_geocod,calle_lista,numero_calles,calles_osm,lat,lon,index_right,gid,fna,gna,nam,in1,fdc,sag
2017,10899,2017-09-03,Domingo,0.0,1:00:00,,0.0,2,"Moto/Ciclomotor,Otros",Av. Arijon Y Av. Ovidio Lagos,2,0,0,1,0,0,1,"-33.003833333333,-60.676166666667",Avenida,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-33.003833333333,-60.676166666667","['Avenida Manuel Arijón', 'Avenida Ovidio Lagos']",2,,-33.003833333333,-60.676166666667,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10901,2017-09-16,Sabado,0.0,6:00:00,,0.0,2,"Moto/Ciclomotor,Otros",Garibaldi Y Santiago,2,0,0,1,0,0,1,"-32.98275,-60.665944444444",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.98275,-60.665944444444","['José Garibaldi', 'Santiago']",2,,-32.98275,-60.665944444444,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10902,2017-09-30,Sabado,0.0,19:00:00,,0.0,2,"Moto/Ciclomotor,Otros",Garibaldi Y Pueyrredon,2,0,0,1,0,0,1,"-32.9825,-60.667388888889",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.9825,-60.667388888889","['José Garibaldi', 'Pueyrredón']",2,,-32.9825,-60.667388888889,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10903,2017-10-01,Domingo,0.0,19:00:00,,0.0,2,"Moto/Ciclomotor,Otros",Av. Provincias Unidas Y Pasco,2,0,1,0,0,0,1,"-32.950944444444,-60.712277777778",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.950944444444,-60.712277777778","['Avenida Provincias Unidas', 'Pasco']",2,,-32.950944444444,-60.712277777778,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10904,2017-10-05,Jueves,0.0,21:00:00,,0.0,2,"Moto/Ciclomotor,Otros",AV. PROVINCIAS UNIDAS Y JUAN XXIII,2,0,0,1,0,0,1,"-32.973423089262, -60.711251750757",Avenida,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.973423089262, -60.711251750757","['Avenida Provincias Unidas', 'Juan Pablo XXIII']",2,,-32.973423089262,-60.711251750757,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10906,2017-11-03,Viernes,0.0,0:30:00,,0.0,2,"Moto/Ciclomotor,Otros",Dorrego Y Pasco,2,0,0,1,0,0,1,"-32.957583333333,-60.652527777778",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.957583333333,-60.652527777778","['Dorrego', 'Pasco']",2,,-32.957583333333,-60.652527777778,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10909,2017-11-28,Martes,0.0,21:00:00,,0.0,2,"Moto/Ciclomotor,Otros",Barra Y Viamonte,2,0,1,0,0,0,1,"-32.956722222222,-60.706166666667",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.956722222222,-60.706166666667","['Barra', 'Viamonte']",2,,-32.956722222222,-60.706166666667,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10911,2017-12-08,Viernes,0.0,1:30:00,,0.0,2,"Moto/Ciclomotor,Otros",Mendoza Y Mejico,2,0,0,1,0,0,1,"-32.940333333333,-60.718416666667",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.940333333333,-60.718416666667","['Mendoza', 'Mejico']",2,,-32.940333333333,-60.718416666667,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10912,2017-12-14,Jueves,0.0,21:00:00,,0.0,2,"Moto/Ciclomotor,Otros",Francia F Y Viamonte,2,0,0,1,0,0,1,"-32.96043,-60.67018",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.96043,-60.67018","['Avenida Francia', 'Viamonte']",2,,-32.96043,-60.67018,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10914,2017-12-16,Sabado,0.0,5:30:00,,0.0,2,"Moto/Ciclomotor,Otros",Iriondo D Y Comodoro Rivadavia,2,0,0,1,0,0,1,"-32.988361111111,-60.681611111111",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.988361111111,-60.681611111111","['Iriondo', 'Comodoro Rivadavia']",2,,-32.988361111111,-60.681611111111,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10916,2017-01-19,Jueves,0.0,4:00:00,,0.0,2,"Peatón,Otros",Lainez Y Melincue,2,0,0,1,0,0,1,"-33.00525,-60.647805555556",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Peatón,Atropello,S/D,S/D,S/D,S/D,"-33.00525,-60.647805555556","['Láinez', 'Melincué']",2,,-33.00525,-60.647805555556,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10918,2017-02-05,Domingo,0.0,13:00:00,,0.0,2,"Moto/Ciclomotor,Otros",Neuquen Y Av. Provincias Unidas,2,0,0,1,0,0,1,"-32.944583333333,-60.712416666667",Avenida,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.944583333333,-60.712416666667","['Neuquen', 'Avenida Provincias Unidas']",2,,-32.944583333333,-60.712416666667,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10919,2017-02-12,Domingo,0.0,23:00:00,,0.0,2,"Moto/Ciclomotor,Otros",Lamadrid Y Sarmiento,2,0,0,1,0,0,1,"-32.997111111111,-60.649166666667",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.997111111111,-60.649166666667","['Lamadrid', 'Sarmiento']",2,,-32.997111111111,-60.649166666667,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10921,2017-04-23,Domingo,1.0,2:00:00,,0.0,2,"Moto/Ciclomotor,Otros",Santa Fe Y Bv. Oroño,2,0,0,0,0,1,1,"-32.942333333333,-60.653083333333",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,Nocturna,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.942333333333,-60.653083333333","['Santa Fe', 'Bulevar Nicasio Oroño']",2,,-32.942333333333,-60.653083333333,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10924,2017-05-25,Jueves,0.0,18:30:00,,0.0,2,"Moto/Ciclomotor,Otros",Mendoza Y Matienzo,2,0,0,1,0,0,1,"-32.941666666667,-60.694638888889",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.941666666667,-60.694638888889","['Mendoza', 'Matienzo']",2,,-32.941666666667,-60.694638888889,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
2017,10928,2017-07-01,Sabado,0.0,0:00:00,,0.0,2,"Moto/Ciclomotor,Otros",Barra Bis 500,2,0,0,1,0,0,1,"-32.922972222222,-60.707527777778",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D,"-32.922972222222,-60.707527777778",['Barra Bis 500'],1,,-32.922972222222,-60.707527777778,55.0,538.0,Municipio Rosario,Municipio,Rosario,820210,Servicio de Catastro e Información Territorial,IGN
